"","School","LotFrontage","LotArea","MoSold","YrSold","SalePrice","TotalBsmtSF"
"205","High",70,7000,6,2009,240900,926
"206","High",75,9512,6,2006,294323,960
"207","High",75,8004,12,2009,263435,832
"208","High",NA,7500,3,2009,220000,1058
"209","High",NA,8470,10,2009,235000,972
"210","High",NA,7500,1,2010,216000,814
"211","Fellows",NA,9373,6,2009,213000,1621
"212","Fellows",81,10530,6,2006,184500,675
"213","Fellows",78,10140,4,2009,167900,1116
"214","Fellows",85,11050,8,2009,158000,1176
"215","Fellows",78,10140,7,2006,153500,1056
"216","Fellows",78,10140,8,2009,165000,1064
"217","Fellows",78,10140,3,2006,162900,832
"218","Fellows",78,10140,1,2006,181000,1040
"219","Fellows",80,8000,11,2007,178900,1084
"220","Fellows",80,10000,6,2006,155000,1103
"221","Fellows",80,10000,11,2008,157000,1176
"222","Fellows",NA,10448,8,2009,158000,689
"223","Fellows",NA,14311,6,2008,306000,1236
"224","Northwood",60,9000,6,2008,133000,896
"225","Northwood",60,9000,9,2009,136000,896
"226","Northwood",65,9750,7,2008,151000,1054
"227","Northwood",70,10500,12,2007,139000,372
"228","Northwood",68,10295,9,2008,111900,936
"229","Northwood",NA,10530,3,2007,143250,981
"230","Northwood",NA,11241,3,2010,149000,1004
"231","Northwood",NA,15870,3,2006,138800,1096
"232","Northwood",NA,8750,8,2009,148500,1002
"233","Northwood",NA,7472,6,2007,184000,725
"234","Northwood",NA,12537,4,2010,149900,1078
"235","Northwood",71,9353,7,2006,116050,864
"236","Northwood",65,8450,7,2010,142000,1056
"237","Northwood",61,7930,7,2009,156000,1026
"238","Northwood",NA,8125,6,2006,88000,858
"239","Fellows",63,9457,9,2007,155000,925
"240","Fellows",63,7560,5,2008,123000,864
"241","Northwood",NA,7830,3,2009,128000,1180
"242","Northwood",NA,8510,7,2009,143000,1043
"243","Northwood",66,7920,10,2007,133000,914
"244","Northwood",61,9758,7,2007,119500,950
"245","Northwood",70,8400,4,2010,126000,882
"246","Northwood",70,8294,6,2007,123000,858
"247","Northwood",NA,7340,6,2007,110000,858
"248","Northwood",60,7200,3,2006,97500,864
"249","Northwood",60,7038,9,2009,76500,864
"250","Northwood",60,6960,11,2009,120500,864
"251","Northwood",70,8120,7,2009,124500,864
"252","Northwood",NA,17199,7,2007,128000,914
"253","Northwood",NA,12735,4,2008,111250,864
"254","Northwood",70,10500,3,2009,97000,864
"255","Northwood",70,10500,4,2010,115000,864
"256","Northwood",60,9000,7,2009,130000,864
"257","Northwood",60,9000,5,2007,120500,864
"258","Northwood",34,4058,6,2007,133000,723
"259","Northwood",34,4060,8,2008,181000,1405
"260","Northwood",33,4113,7,2007,155000,1337
"261","Northwood",26,10943,10,2007,177000,1405
"262","Northwood",26,8773,9,2006,190000,1487
"263","Northwood",26,5858,6,2010,184000,1405
"264","Fellows",24,2760,12,2006,105500,525
"265","Fellows",21,2205,2,2007,113500,525
"266","Fellows",24,2160,6,2006,125500,765
"267","Fellows",21,1680,2,2008,103400,483
"268","Fellows",21,1890,5,2007,113000,672
"269","Northwood",21,1953,6,2006,83000,483
"270","Northwood",21,2058,12,2007,113700,672
"271","Northwood",21,1680,11,2008,100000,483
"272","Northwood",21,1680,7,2009,111000,483
"273","Northwood",21,1890,7,2006,116000,494
"274","Northwood",21,1890,4,2008,100500,483
"275","Fellows",24,2016,4,2007,106000,630
"276","Fellows",21,1869,9,2008,106000,483
"277","Fellows",24,2368,5,2009,125000,765
"278","Northwood",24,1920,8,2007,122500,765
"279","Northwood",21,1680,2,2010,96000,483
"280","Northwood",21,1680,4,2006,91500,672
"281","Fellows",21,1680,7,2008,85400,483
"282","Fellows",21,1680,5,2009,112000,630
"283","Fellows",21,1680,3,2010,105500,525
"284","Northwood",21,1680,5,2006,118000,672
"285","Northwood",21,1680,8,2008,89500,483
"286","Northwood",21,1680,3,2010,88000,525
"287","Fellows",21,1680,7,2006,89000,483
"288","Fellows",21,1680,10,2006,108000,525
"289","Fellows",21,1680,6,2006,94500,483
"290","Fellows",21,1680,7,2009,97000,483
"291","Fellows",21,1680,12,2008,111750,630
"292","Fellows",21,1680,5,2009,118000,483
"293","Fellows",21,1680,2,2009,119500,630
"294","Fellows",NA,4928,10,2009,143750,958
"295","Fellows",53,4043,7,2006,146300,1069
"296","Fellows",NA,4928,2,2007,128000,1078
"297","Fellows",53,4043,10,2008,140000,1069
"298","Fellows",53,4043,7,2010,127500,1069
"299","Fellows",65,7514,9,2006,145000,943
"300","Fellows",68,7838,12,2006,123000,864
"301","Northwood",24,2308,7,2007,155000,804
"302","Northwood",24,2308,9,2009,146000,804
"303","Northwood",24,2280,7,2009,148500,855
"304","Northwood",24,2280,4,2006,137500,1055
"305","Northwood",24,2280,6,2010,149900,855
"306","Northwood",24,2280,8,2009,123000,1057
"307","Northwood",24,2280,6,2010,120000,836
"308","Northwood",24,2308,5,2008,143000,855
"309","Northwood",24,2308,6,2009,147000,855
"310","Northwood",24,2529,9,2008,148500,1055
"311","Northwood",24,2349,5,2009,137900,855
"312","Northwood",24,2280,7,2010,146000,855
"313","Northwood",24,2304,4,2007,142500,1061
"314","Northwood",24,2364,7,2009,147000,804
"315","Northwood",24,2289,4,2009,148500,855
"316","Northwood",24,2364,4,2009,138000,855
"317","Northwood",24,2104,10,2009,128500,836
"318","Northwood",24,2179,7,2006,144000,855
"319","Fellows",65,7150,7,2009,100000,892
"320","Fellows",65,7150,11,2007,129250,988
"321","Fellows",NA,9477,10,2008,110000,864
"322","Fellows",NA,10710,7,2009,148800,864
"323","High",129,16737,9,2006,315000,1980
"324","High",96,12444,11,2008,394617,1932
"325","High",96,12456,7,2009,337500,1700
"326","High",96,12469,8,2007,356000,1790
"327","High",72,16387,8,2006,412083,1738
"328","High",90,11694,7,2007,314813,1822
"329","High",93,12030,12,2007,318000,1694
"330","High",96,12474,8,2008,426000,1682
"331","High",91,11825,6,2007,322400,1694
"332","High",93,12085,11,2007,318000,1734
"333","High",110,14257,6,2009,462000,1776
"334","High",110,14333,11,2007,345474,2108
"335","High",114,14803,6,2008,385000,2078
"336","High",104,13518,7,2009,485000,1926
"337","High",67,14948,11,2008,446261,1452
"338","High",111,16259,9,2006,342643,1249
"339","High",105,15431,4,2009,555000,3094
"340","High",107,14450,5,2007,415298,2121
"341","High",107,13641,12,2007,492000,1934
"342","High",110,13440,3,2007,338931,1108
"343","High",108,13173,11,2009,325000,1652
"344","High",105,15431,8,2007,450000,1994
"345","High",110,16163,7,2006,252000,1618
"346","High",110,14230,7,2009,256300,1566
"347","High",98,12704,8,2009,253293,2042
"348","High",95,12350,7,2009,398800,1365
"349","High",96,11308,7,2009,335000,1104
"350","High",102,12858,1,2010,376162,1590
"351","High",95,12350,5,2009,404000,2020
"352","High",94,12220,9,2009,402861,2006
"353","High",98,12704,1,2008,317500,1582
"354","High",109,14154,8,2007,280000,1063
"355","High",97,13478,6,2009,451950,1722
"356","High",105,13693,3,2009,610000,2630
"357","High",107,13891,10,2007,479069,2552
"358","High",107,13891,9,2006,465000,2076
"359","High",110,14226,7,2007,395000,1935
"360","High",107,13891,1,2008,372402,1710
"361","High",107,13891,1,2009,582933,1734
"362","High",105,13693,3,2007,380000,2153
"363","High",105,13693,8,2008,417500,2418
"364","High",108,12228,9,2006,293000,1721
"365","High",98,11478,5,2010,306000,1704
"366","High",95,11578,7,2009,360000,1736
"367","High",98,11428,5,2007,250000,1626
"368","High",120,14780,6,2006,415000,1868
"369","High",104,14418,5,2008,383000,1950
"370","High",110,14977,7,2007,440000,1976
"371","High",129,16870,4,2009,296000,1782
"372","High",98,16033,3,2006,326000,1833
"373","High",101,14215,11,2006,325300,1158
"374","High",108,13418,9,2006,309000,1117
"375","High",108,13418,10,2008,390000,1850
"376","High",118,13654,5,2007,418000,1704
"377","High",59,17169,8,2007,500067,2320
"378","High",59,23303,6,2009,409900,1508
"379","High",96,12539,6,2008,460000,1620
"380","High",120,13975,8,2006,300000,1090
"381","High",134,16659,6,2007,260116,1582
"382","High",87,11146,7,2009,255500,1709
"383","High",87,10367,6,2009,335000,1739
"384","High",83,10159,4,2010,395192,1930
"385","High",94,12883,6,2010,290941,1544
"386","High",95,12182,5,2010,220000,1541
"387","High",80,10240,3,2006,275500,1030
"388","High",90,11520,6,2010,275000,1698
"389","High",102,12151,8,2008,379000,1414
"390","High",82,9942,5,2006,338500,1606
"391","High",76,9591,10,2007,317000,1143
"392","High",76,9591,1,2009,274900,1713
"393","High",77,10872,2,2009,300000,1504
"394","High",102,13514,3,2009,324000,1774
"395","High",79,14122,2,2010,259000,1822
"396","High",85,11924,7,2006,345000,1175
"397","High",70,10171,3,2010,214000,1517
"398","High",103,12867,7,2006,344133,1209
"399","High",74,8899,6,2008,250000,948
"400","High",74,8834,6,2009,350000,1462
"401","High",82,9709,9,2007,319500,918
"402","High",82,10672,11,2006,298236,1054
"403","High",82,11643,8,2006,329900,1524
"404","High",107,11362,3,2009,280000,1836
"405","High",90,12378,11,2006,360000,1896
"406","High",85,10655,10,2009,284000,3206
"407","High",85,10574,7,2008,316000,1148
"408","High",90,12878,6,2009,269500,1760
"409","High",79,9541,9,2009,233170,1502
"410","High",86,11065,10,2006,281000,1085
"411","High",86,10562,11,2007,325624,1582
"412","High",94,13615,6,2007,372000,1802
"413","High",100,12919,3,2010,611657,2330
"414","High",121,13758,3,2006,372397,1792
"415","High",131,14828,8,2006,378000,1780
"416","High",99,13069,8,2007,342000,1706
"417","High",99,12099,6,2007,354000,1136
"418","High",72,11846,8,2006,374000,1792
"419","High",106,12720,2,2008,615000,2535
"420","High",103,13472,6,2009,386250,2392
"421","High",110,15274,7,2009,445000,2452
"422","High",110,13688,3,2008,412500,1572
"423","High",110,14277,1,2007,350000,1317
"424","High",96,13262,6,2009,290000,1082
"425","High",93,11999,5,2007,285000,1181
"426","High",56,20431,4,2006,437154,1848
"427","High",85,10625,8,2008,284000,998
"428","High",74,10927,6,2006,275000,1058
"429","High",NA,12568,8,2007,281500,895
"430","High",70,9926,5,2007,245700,1614
"431","High",70,9658,7,2009,255900,1598
"432","High",71,9254,1,2007,232698,1721
"433","High",92,10732,2,2007,250000,1298
"434","High",92,10845,6,2008,284000,1603
"435","High",NA,13215,2,2006,279000,1420
"436","High",61,7577,6,2007,194700,1362
"437","High",34,3901,8,2007,204000,1302
"438","High",34,3903,5,2007,200000,1302
"439","High",41,6289,6,2007,207000,1362
"440","High",47,6904,8,2009,213000,1358
"441","High",34,5381,8,2009,196000,1306
"442","High",34,5122,3,2009,184500,1306
"443","High",43,7052,6,2006,185850,1364
"444","High",44,6371,6,2010,224000,1358
"445","High",80,10307,5,2009,212500,1350
"446","High",34,5001,7,2009,230000,1314
"447","High",110,14300,6,2010,500000,2846
"448","High",100,14836,2,2009,552000,2492
"449","High",105,13650,6,2010,320000,1671
"450","High",117,15262,7,2009,382500,2200
"451","High",130,16900,1,2008,421250,1479
"452","High",112,16451,7,2008,370000,1765
"453","High",61,7658,2,2010,319900,1752
"454","High",48,5911,3,2006,282500,1560
"455","High",58,10110,11,2008,336860,1858
"456","High",44,7390,5,2009,320000,1884
"457","High",48,6472,4,2009,248500,1451
"458","High",65,8769,10,2008,367294,1702
"459","High",135,12304,6,2008,192000,1367
"460","High",48,6955,9,2006,202500,1368
"461","High",40,6792,3,2006,202665,1368
"462","High",41,7132,4,2010,205000,1370
"463","High",34,4590,8,2007,209500,1554
"464","High",34,4590,5,2007,209500,1554
"465","High",44,6442,10,2007,202500,1370
"466","High",129,16770,9,2009,286500,1712
"467","High",62,12677,4,2008,274000,1518
"468","High",48,7841,5,2007,280000,1577
"469","High",63,8849,7,2008,266000,1684
"470","High",60,7313,8,2007,277500,1561
"471","High",61,7740,6,2006,332200,1686
"472","High",48,6373,6,2006,310090,1666
"473","High",68,7820,12,2007,318061,1869
"474","High",89,8232,6,2008,370967,1800
"475","High",48,6240,6,2008,234250,1342
"476","High",48,6240,2,2008,219500,1342
"477","High",48,6240,12,2009,254000,1324
"478","High",48,6240,9,2007,221370,1324
"479","High",48,3480,11,2009,173000,1405
"480","High",NA,3136,3,2006,171750,1405
"481","High",36,2268,7,2009,173000,764
"482","High",36,2448,10,2008,155000,764
"483","High",36,2628,6,2010,175500,764
"484","High",36,2448,10,2008,154000,764
"485","High",48,3242,3,2007,200000,1405
"486","High",59,8198,7,2008,207000,1358
"487","High",59,15810,5,2007,181755,768
"488","High",65,10237,6,2007,176000,768
"489","High",65,10237,10,2006,169990,1316
"490","High",65,10237,7,2007,178900,783
"491","High",65,10237,2,2006,170440,728
"492","High",65,10237,9,2006,169985,738
"493","High",63,10928,6,2009,184000,728
"494","High",58,13204,5,2007,168165,608
"495","High",58,17104,9,2006,179665,654
"496","High",58,14054,11,2006,219210,879
"497","High",100,18494,1,2010,199500,1324
"498","High",57,8918,7,2009,167800,745
"499","High",102,11660,7,2006,174190,1326
"500","High",62,8857,3,2007,171925,738
"501","High",63,9729,6,2007,198444,698
"502","High",88,12216,6,2007,203000,1326
"503","High",149,12589,6,2009,174000,742
"504","High",122,11911,3,2009,174000,684
"505","High",65,9018,7,2007,179540,728
"506","High",105,15578,5,2006,172785,728
"507","High",96,11631,6,2006,258000,1052
"508","High",75,9073,10,2006,185101,738
"509","High",73,8993,8,2007,176485,1302
"510","High",73,8899,8,2007,181134,1340
"511","High",73,8499,3,2007,156932,616
"512","High",72,8229,12,2007,166000,752
"513","High",64,7713,7,2007,177594,728
"514","High",64,7697,8,2007,173500,1246
"515","High",53,3922,6,2007,172500,1258
"516","High",53,3922,2,2007,194201,1258
"517","High",43,3087,11,2006,210250,1220
"518","High",43,3203,1,2010,160000,1145
"519","High",53,3684,6,2009,174000,1373
"520","High",51,3635,5,2009,175900,1386
"521","High",NA,3196,10,2006,234000,1374
"522","High",NA,3196,5,2006,215000,1273
"523","High",NA,3940,8,2008,195000,1415
"524","High",NA,2938,5,2006,246990,1368
"525","High",NA,3621,11,2007,226500,1406
"526","High",NA,3940,5,2008,219990,1393
"527","High",NA,3072,5,2006,178740,1375
"528","High",NA,3072,9,2006,225000,1365
"529","High",43,3182,5,2009,192500,1373
"530","High",43,3182,4,2010,192000,1256
"531","High",43,3182,5,2008,191000,1346
"532","High",43,3182,5,2009,181000,1346
"533","High",43,3182,8,2009,180000,1220
"534","High",43,3182,9,2009,160200,1145
"535","High",43,3182,3,2008,159895,1266
"536","High",53,3710,3,2008,187687,1146
"537","High",43,3010,3,2006,167240,1248
"538","High",43,3010,6,2006,156820,1142
"539","High",53,3710,8,2007,185485,1266
"540","High",43,3013,4,2006,213490,1362
"541","High",53,3982,10,2006,264561,1520
"542","High",53,4045,10,2006,246578,1356
"543","High",182,14572,11,2007,259000,1530
"544","High",67,13300,6,2010,184500,384
"545","High",65,16219,4,2007,188500,835
"546","High",60,21930,7,2006,192140,732
"547","High",87,11084,6,2007,175000,384
"548","High",71,7795,7,2009,188500,716
"549","High",80,9024,7,2008,179000,789
"550","High",NA,7861,6,2006,183200,783
"551","High",NA,8068,12,2009,200000,1010
"552","High",62,7415,4,2008,193000,839
"553","High",74,9056,10,2006,178000,707
"554","High",59,11796,7,2007,215000,847
"555","High",59,10936,4,2007,206580,1510
"556","High",59,9587,7,2008,190000,856
"557","High",59,9171,7,2006,201490,848
"558","High",59,9434,8,2009,170000,384
"559","High",62,8244,5,2007,183500,840
"560","High",62,7984,9,2009,189500,868
"561","High",51,8029,7,2008,176000,728
"562","High",NA,8010,7,2008,188000,840
"563","High",NA,7750,3,2009,184100,408
"564","High",NA,7851,5,2010,216500,860
"565","High",106,11194,11,2006,230500,1406
"566","High",63,8577,4,2010,185088,847
"567","High",61,10125,7,2009,195500,846
"568","High",NA,11950,10,2007,165500,384
"569","High",NA,8965,6,2009,192000,782
"570","High",NA,8396,5,2008,213000,847
"571","High",NA,8174,5,2009,178000,698
"572","High",63,7875,7,2006,180000,783
"573","High",63,7875,7,2007,211000,847
"574","High",NA,7750,4,2010,180000,384
"575","High",34,5063,4,2009,207500,1314
"576","High",55,7301,11,2008,217300,1350
"577","High",NA,8063,11,2007,181000,924
"578","High",NA,8121,1,2006,172400,953
"579","High",NA,8795,4,2009,236000,952
"580","High",NA,8658,4,2006,215000,982
"581","High",NA,8740,7,2007,219500,854
"582","High",NA,12891,7,2009,257500,870
"583","High",NA,11214,7,2006,199900,930
"584","High",62,7917,8,2007,175000,953
"585","High",93,10261,5,2008,186500,936
"586","High",76,9967,12,2007,170000,384
"587","High",71,8220,7,2008,226750,982
"588","High",NA,12224,7,2009,244000,992
"589","High",60,15384,2,2008,184000,788
"590","High",61,9734,5,2009,167000,384
"591","High",NA,7750,8,2007,162000,660
"592","High",NA,7750,4,2008,176000,707
"593","High",60,8123,6,2009,179000,982
"594","High",58,10852,2,2006,173000,959
"595","High",58,9487,6,2007,187000,915
"596","High",42,8433,6,2009,190000,794
"597","High",62,7750,3,2009,156000,384
"598","High",NA,9505,5,2010,222500,884
"599","High",NA,15896,5,2009,245000,1177
"600","High",NA,24682,6,2009,181000,841
"601","High",41,12460,5,2008,225000,1037
"602","High",NA,8755,6,2009,214000,992
"603","High",NA,12104,8,2006,287602,1035
"604","High",59,9649,5,2007,185000,941
"605","High",64,7848,6,2009,168000,384
"606","High",77,8390,5,2008,185900,831
"607","High",66,8738,2,2006,230000,975
"608","High",82,9452,6,2006,348000,1396
"609","High",84,9660,9,2008,284500,1173
"610","High",84,9660,2,2006,286000,1044
"611","High",83,9545,6,2006,300000,1160
"612","High",82,9430,7,2009,337000,1252
"613","High",80,9200,6,2008,315000,1470
"614","High",160,15623,7,2007,745000,2396
"615","High",118,35760,7,2006,625000,1930
"616","High",174,15138,7,2009,403000,1462
"617","High",100,12191,6,2007,384500,1779
"618","High",84,14260,12,2008,250000,1145
"619","High",NA,11000,6,2007,248000,969
"620","High",NA,11000,6,2008,291000,1519
"621","High",NA,9233,3,2006,405000,1540
"622","High",NA,11400,3,2007,466500,2633
"623","High",106,12720,9,2009,327000,1455
"624","High",108,14774,5,2010,333168,1393
"625","High",89,10557,7,2007,410000,1408
"626","High",74,11002,1,2007,322500,1389
"627","High",NA,16545,5,2009,340000,1284
"628","High",78,12011,6,2006,280000,1086
"629","High",60,17433,1,2010,355000,1629
"630","High",98,12203,7,2009,336000,1225
